PlayerID,PName,Height(cm),Matches Played,Overall Win%,Top 100 Win %,Top 30 Win %,First Serve %,First Serve Win %,BPSave %,BPConv %,Aces/Match,DF/Match,Future Top 30
103103,Dominik Hrbaty,183.0,50,0.6,0.627906976744186,0.5,0.5449498516187775,0.7577066251828516,0.6139817629179332,0.39746835443037976,7.24,4.22,True
102318,Andrei Pavel,183.0,50,0.58,0.55,0.375,0.649663110771138,0.6892984215214548,0.5932203389830508,0.4607594936708861,5.24,2.58,True
103344,Ivan Ljubicic,193.0,50,0.5,0.4473684210526316,0.5294117647058824,0.544321432174142,0.773545612404102,0.6386292834890965,0.3538961038961039,10.88,3.22,True
103819,Roger Federer,185.0,50,0.52,0.475,0.4,0.5880200745039627,0.7253587334014334,0.6435643564356436,0.4206896551724138,6.98,3.44,True
103017,Nicolas Kiefer,183.0,50,0.66,0.5789473684210527,0.4666666666666667,0.5164296995930827,0.7456667375183756,0.6391184573002755,0.4433497536945813,6.42,4.4,True
103292,Gaston Gaudio,175.0,50,0.54,0.5128205128205128,0.26666666666666666,0.6103661372440957,0.6679701809480559,0.5831202046035806,0.45454545454545453,2.38,2.92,True
103324,Arnaud Di Pasquale,185.0,50,0.32,0.24390243902439024,0.19047619047619047,0.6419784044227772,0.6359796488496932,0.5384615384615384,0.41002949852507375,2.4,4.06,False
102839,Nicolas Lapentti,188.0,50,0.56,0.4864864864864865,0.375,0.5782730304048123,0.7265215954516293,0.6320474777448071,0.42441860465116277,6.08,3.5,True
103720,Lleyton Hewitt,180.0,50,0.8,0.7619047619047619,0.7,0.5254066340076136,0.74688259178209,0.6476868327402135,0.4908616187989556,6.38,3.38,True
103714,Andreas Vinciguerra,180.0,50,0.58,0.5365853658536586,0.29411764705882354,0.5536489772206931,0.720072460184572,0.6632390745501285,0.47368421052631576,5.08,3.02,False
103758,Taylor Dent,188.0,50,0.44,0.4166666666666667,0.23076923076923078,0.555243331573316,0.7513167978481057,0.5910543130990416,0.35802469135802467,7.48,5.46,True
102701,Marcelo Rios,175.0,50,0.56,0.525,0.3333333333333333,0.5429652334687427,0.7189126918768111,0.6125827814569537,0.3863013698630137,5.94,3.7,True
103264,Mariano Puerta,180.0,50,0.64,0.6756756756756757,0.4,0.6740047249801815,0.6938831962674137,0.6150793650793651,0.44193548387096776,3.0,1.4,True
103294,Christophe Rochus,170.0,50,0.44,0.38235294117647056,0.07692307692307693,0.5789524612868313,0.6266702376657375,0.572354211663067,0.3864168618266979,2.16,4.42,False
102860,Agustin Calleri,183.0,50,0.52,0.45,0.3333333333333333,0.5391138477973451,0.7763750538523212,0.5819935691318328,0.3747072599531616,7.24,3.22,True
103176,David Sanchez,183.0,50,0.4,0.30303030303030304,0.2727272727272727,0.6266257141851728,0.6345588600559449,0.585081585081585,0.4404432132963989,1.94,2.6,False
103163,Tommy Haas,188.0,50,0.58,0.5128205128205128,0.5,0.5397800672261389,0.7458857590791331,0.622478386167147,0.392,6.48,4.5,True
102703,Hyung Taik Lee,180.0,50,0.4,0.3076923076923077,0.15384615384615385,0.5977281464925835,0.6637452698657963,0.5846560846560847,0.36283185840707965,3.92,2.5,False
102644,Franco Squillari,183.0,50,0.56,0.5405405405405406,0.5714285714285714,0.5319233472752072,0.7285428642542108,0.6210526315789474,0.41237113402061853,3.98,5.74,True
102950,Fernando Vicente,180.0,50,0.42,0.3611111111111111,0.4117647058823529,0.5882863951562866,0.673725013000747,0.5531914893617021,0.4220430107526882,2.94,3.58,True
103694,Olivier Rochus,168.0,50,0.44,0.32432432432432434,0.18181818181818182,0.5891696778299302,0.6547251137622971,0.5141388174807198,0.40865384615384615,2.1,2.68,True
103356,Michel Kratochvil,185.0,50,0.5,0.4166666666666667,0.23076923076923078,0.5384902761007367,0.726699864568888,0.6062992125984252,0.4509283819628647,4.14,5.96,False
103428,Juan Ignacio Chela,190.0,50,0.5,0.39473684210526316,0.46153846153846156,0.5459912026643129,0.723922957553042,0.6240601503759399,0.4297752808988764,5.46,3.18,True
103206,Sebastien Grosjean,175.0,50,0.62,0.5428571428571428,0.2857142857142857,0.5824056536410943,0.7183044558335623,0.6214511041009464,0.4258373205741627,4.52,1.6,True
102539,Bohdan Ulihrach,188.0,50,0.52,0.4883720930232558,0.3684210526315789,0.5819345141401046,0.6694557557493276,0.5920745920745921,0.4139650872817955,2.78,4.16,False
102854,Sjeng Schalken,193.0,50,0.54,0.4878048780487805,0.2777777777777778,0.5498714833282555,0.7289853925629708,0.5895765472312704,0.39285714285714285,5.56,4.92,True
102694,Lars Burgsmuller,183.0,50,0.4,0.3157894736842105,0.25,0.5807787880559383,0.6689235322241782,0.592964824120603,0.3628808864265928,3.6,3.64,False
103182,Markus Hipfl,178.0,50,0.44,0.38461538461538464,0.4444444444444444,0.6320038810658672,0.6414136948288909,0.5586034912718204,0.408,2.34,2.66,False
103018,Max Mirnyi,196.0,50,0.52,0.5128205128205128,0.3333333333333333,0.6436981946041972,0.757733764089768,0.647887323943662,0.38870431893687707,9.0,3.24,True
102610,Albert Costa,180.0,50,0.58,0.6,0.38461538461538464,0.6149110453623747,0.6874309667584714,0.6216216216216216,0.4274193548387097,4.12,1.58,True
104053,Andy Roddick,188.0,50,0.66,0.6363636363636364,0.42105263157894735,0.579261509423943,0.7934998635261061,0.7154150197628458,0.34770114942528735,10.16,3.52,True
102722,Attila Savolt,183.0,50,0.4,0.34285714285714286,0.2222222222222222,0.5591423781875213,0.702983162183089,0.5906862745098039,0.35714285714285715,5.14,3.62,False
102796,Magnus Norman,188.0,50,0.72,0.6923076923076923,0.6,0.635229276293318,0.7312417975191151,0.6341463414634146,0.38392857142857145,6.46,2.6,True
102374,Alex Corretja,180.0,50,0.78,0.7727272727272727,0.7222222222222222,0.4863565869045026,0.7744350517971087,0.6561264822134387,0.4360313315926893,5.46,2.22,True
